"id","scientific","english","region","landcover","estimate","lower","upper"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Cropland",0.747,0.539,1.026
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Conifer",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Taiga Conifer",5e-04,4e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Deciduous",6e-04,5e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Mixedwood",6e-04,5e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Shrub",6e-04,4e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Grass",6e-04,5e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Arctic Shrub",4e-04,3e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Arctic Grass",4e-04,2e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Wetland",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Canada","Cropland",8e-04,7e-04,9e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Conifer",3e-04,2e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Taiga Conifer",2e-04,1e-04,4e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Deciduous",3e-04,1e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Mixedwood",2e-04,1e-04,5e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Shrub",2e-04,1e-04,4e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Grass",4e-04,2e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Arctic Shrub",0,0,0
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Arctic Grass",2e-04,1e-04,3e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Wetland",1e-04,1e-04,3e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","4 Northwestern Interior Forest","Cropland",1e-04,0,3e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Conifer",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Taiga Conifer",2e-04,1e-04,4e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Deciduous",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Mixedwood",7e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Shrub",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Grass",6e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Arctic Shrub",6e-04,2e-04,0.001
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Arctic Grass",6e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Wetland",6e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","5 Northern Pacific Rainforest","Cropland",0.001,8e-04,0.0011
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Conifer",6e-04,4e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Taiga Conifer",3e-04,2e-04,5e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Deciduous",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Mixedwood",6e-04,5e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Shrub",4e-04,3e-04,6e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Grass",4e-04,3e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Arctic Shrub",0,0,0
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Arctic Grass",1e-04,1e-04,2e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Wetland",5e-04,4e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","6 Boreal Taiga Plains","Cropland",8e-04,7e-04,9e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Conifer",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Taiga Conifer",6e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Deciduous",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Mixedwood",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Shrub",6e-04,5e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Grass",7e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Arctic Shrub",5e-04,3e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Arctic Grass",4e-04,3e-04,7e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Wetland",8e-04,6e-04,8e-04
"YTVI","Vireo flavifrons","Yellow-throated Vireo","7 Taiga Shield & Hudson Plains","Cropland",8e-04,7e-04,0.001
"YTVI","Vireo flavifrons","Yellow-throated Vireo","8 Boreal Softwood Shield","Conifer",9e-04,7e-04,9e-04
